,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,100,PF,1567366752,88,-23.12,-134.97,71.72,7.18
1,Bathsheba,40,BB,1567366753,66,13.22,-59.52,87.8,11.41
2,Kapaa,75,US,1567366754,66,22.08,-159.32,87.8,11.41
3,Katsuura,40,JP,1567366756,94,33.93,134.5,73.99,10.29
4,New Norfolk,20,AU,1567366757,81,-42.78,147.06,46.4,11.41
5,Busselton,100,AU,1567366758,52,-33.64,115.35,55.99,33.46
6,Port Alfred,0,ZA,1567366760,77,-33.59,26.89,63.0,5.99
7,Butaritari,45,KI,1567366761,76,3.07,172.79,84.32,18.59
8,Kodiak,40,US,1567366762,69,39.95,-94.76,79.0,3.36
9,Ushuaia,75,AR,1567366763,86,-54.81,-68.31,33.8,21.92
10,Rincon de La Victoria,0,BO,1567366765,34,-21.52,-64.81,66.2,11.41
11,Margate,20,AU,1567366766,81,-43.03,147.26,46.4,11.41
12,Vaini,100,IN,1567366767,94,15.34,74.49,74.06,1.83
13,Hilo,20,US,1567366768,62,19.71,-155.08,87.01,16.89
14,Victoria,75,BN,1567366770,83,5.28,115.24,82.4,2.24
15,Tura,100,RU,1567366771,86,64.27,100.22,52.1,0.09
16,Puerto Ayora,40,EC,1567366772,65,-0.74,-90.35,78.8,20.8
17,Castro,40,CL,1567366773,61,-42.48,-73.76,50.0,21.92
18,Mataura,69,NZ,1567366775,84,-46.19,168.86,43.0,4.0
19,Baiyin,0,CN,1567366776,93,36.55,104.13,50.0,6.71
20,Mar del Plata,80,AR,1567366777,55,-46.43,-67.52,39.5,30.0
21,Cape Town,20,ZA,1567366507,82,-33.93,18.42,59.0,4.7
22,Urdoma,0,RU,1567366779,92,61.74,48.55,42.02,1.52
23,Berlevag,20,NO,1567366781,72,70.86,29.09,62.6,8.05
24,Kruisfontein,10,ZA,1567366782,92,-34.0,24.73,52.82,10.25
25,Suvorovo,0,BG,1567366783,68,43.33,27.59,71.6,2.24
26,Bambanglipuro,100,ID,1567366784,83,-7.95,110.28,75.14,11.12
27,Faanui,97,PF,1567366786,79,-16.48,-151.75,74.96,15.23
28,Plettenberg Bay,97,ZA,1567366547,82,-34.05,23.37,57.32,7.09
29,Baarle-Hertog,0,BE,1567366788,58,51.44,4.93,63.0,3.36
30,Bredasdorp,0,ZA,1567366789,58,-34.53,20.04,59.0,13.87
31,Carnarvon,0,ZA,1567366790,28,-30.97,22.13,51.38,5.35
32,Puri,99,ID,1567366792,86,-7.54,112.45,69.2,7.43
33,Sola,63,TZ,1567366793,60,-3.17,33.8,73.88,8.48
34,Caluquembe,0,AO,1567366794,82,-13.78,14.68,57.68,4.97
35,Champerico,40,MX,1567366796,55,16.38,-93.6,87.8,6.93
36,Kinsale,75,IE,1567366578,82,51.71,-8.52,57.2,8.05
37,Tuktoyaktuk,20,CA,1567366798,70,69.44,-133.03,39.2,14.99
38,Dabola,75,GN,1567366799,95,10.74,-11.11,70.46,3.36
39,Barrow,18,AR,1567366800,57,-38.31,-60.23,45.8,5.7
40,East London,20,ZA,1567366802,77,-33.02,27.91,59.0,8.05
41,Tautira,75,PF,1567366803,73,-17.73,-149.15,75.2,1.12
42,Otorohanga,99,NZ,1567366804,91,-38.18,175.2,45.0,1.21
43,Kirakira,0,SB,1567366806,81,-10.46,161.92,78.92,3.02
44,Qaanaaq,0,GL,1567366807,50,77.48,-69.36,43.46,6.35
45,Ust-Omchug,40,RU,1567366812,68,61.13,149.63,43.82,2.17
46,Jamestown,0,AU,1567366814,64,-33.21,138.6,47.06,8.46
47,Qarqin,0,AF,1567366815,20,37.41,66.03,69.56,10.31
48,Batagay,52,RU,1567366816,84,67.65,134.64,45.26,2.06
49,Upernavik,0,GL,1567366817,79,72.79,-56.15,43.1,6.69
50,Blantyre,0,MW,1567366819,42,-15.79,35.0,77.3,14.63
51,Yellowknife,75,CA,1567366785,62,62.45,-114.38,51.8,4.7
52,Tucupita,81,VE,1567366821,57,9.06,-62.05,90.44,3.2
53,Santa Cruz del Norte,40,CU,1567366822,79,23.15,-81.92,89.6,9.17
54,Torbay,20,CA,1567366569,49,47.66,-52.73,71.01,17.22
55,Warrington,20,GB,1567366570,71,53.39,-2.59,57.2,9.17
56,Sao Filipe,100,CV,1567366826,82,14.9,-24.5,80.36,6.73
57,Horasan,23,TR,1567366827,65,40.04,42.16,60.02,2.8
58,Shingu,47,JP,1567366828,96,33.72,135.99,67.22,3.15
59,Krutikha,50,RU,1567366830,75,53.96,81.21,46.52,5.21
60,Port Elizabeth,1,US,1567366831,39,39.31,-74.98,84.2,6.93
61,Inhambane,20,MZ,1567366832,72,-23.87,35.38,68.0,4.7
62,Hobart,20,AU,1567366816,81,-42.88,147.33,46.4,11.41
63,Safranbolu,0,TR,1567366835,91,41.25,32.69,60.38,1.3
64,Manzhouli,49,CN,1567366836,69,49.6,117.43,55.52,5.99
65,Saint-Joseph,0,FR,1567366837,83,43.56,6.97,80.6,1.12
66,Pacific Grove,1,US,1567366839,64,36.62,-121.92,93.99,6.93
67,Komsomolskiy,98,RU,1567366840,89,67.55,63.78,44.18,15.59
68,Avarua,17,CK,1567366841,77,-21.21,-159.78,66.2,4.7
69,Ilulissat,20,GL,1567366842,27,69.22,-51.1,51.8,11.41
70,Petauke,0,ZM,1567366844,20,-14.25,31.33,80.0,15.59
71,Tiblawan,85,PH,1567366845,74,6.48,126.11,80.54,2.17
72,Pedernales,100,EC,1567366846,86,0.07,-80.05,71.36,13.22
73,Neuquen,0,AR,1567366847,19,-38.95,-68.06,59.0,12.75
74,Codrington,90,AU,1567366848,93,-28.95,153.24,55.0,9.17
75,Hambantota,90,LK,1567366850,100,6.12,81.12,75.2,5.82
76,Namatanai,100,PG,1567366851,84,-3.66,152.44,78.92,16.69
77,Punta Arenas,20,CL,1567366852,48,-53.16,-70.91,42.8,21.92
78,Minas,40,UY,1567366853,58,-34.38,-55.24,53.6,19.46
79,Chuy,32,UY,1567366855,66,-33.69,-53.46,51.56,13.4
80,Road Town,40,VG,1567366856,66,18.42,-64.62,87.8,6.93
81,Gushikawa,40,JP,1567366857,88,26.35,127.87,84.2,8.05
82,Belyy Yar,0,RU,1567366859,77,53.6,91.39,59.0,8.95
83,Saskylakh,100,RU,1567366860,88,71.97,114.09,40.22,12.24
84,Talnakh,0,RU,1567366861,100,69.49,88.39,42.8,8.95
85,Provideniya,90,RU,1567366863,81,64.42,-173.23,51.8,11.18
86,Hami,0,CN,1567366864,19,42.84,93.51,79.64,8.97
87,Mocuba,38,MZ,1567366865,85,-16.84,36.99,71.72,6.89
88,Tual,0,ID,1567366867,81,-5.67,132.75,76.04,19.86
89,Sorland,75,NO,1567366868,87,67.67,12.69,53.6,10.29
90,Kathu,0,ZA,1567366869,28,-27.7,23.05,55.0,7.16
91,Flinders,0,AU,1567366871,66,-34.58,150.85,55.0,5.82
92,Arraial do Cabo,0,BR,1567366872,61,-22.97,-42.02,80.6,3.36
93,Pitimbu,40,BR,1567366874,78,-7.47,-34.81,80.6,13.87
94,Paamiut,100,GL,1567366875,88,61.99,-49.67,44.18,35.48
95,Arrifes,20,PT,1567366876,64,37.77,-25.7,71.01,14.99
96,Hermanus,67,ZA,1567366877,83,-34.42,19.24,59.0,7.0
97,Karratha,0,AU,1567366879,45,-20.74,116.85,70.1,17.34
98,Doka,100,SD,1567366880,85,13.52,35.76,75.86,6.64
99,Nanortalik,100,GL,1567366881,87,60.14,-45.24,43.64,5.91
100,Camopi,74,GF,1567366882,61,3.17,-52.33,84.68,1.88
101,Thompson,75,CA,1567366862,39,55.74,-97.86,50.0,12.75
102,Shanhetun,62,CN,1567366885,99,44.7,127.2,60.2,3.38
103,Husavik,50,CA,1567366886,46,50.56,-96.99,72.0,13.6
104,Xining,34,CN,1567366887,79,36.62,101.77,44.0,3.94
105,Shush,3,RU,1567366889,82,55.6,89.45,46.34,4.36
106,Morondava,0,MG,1567366890,72,-20.3,44.28,76.94,21.79
107,Bambous Virieux,20,MU,1567366891,77,-20.34,57.76,69.01,5.82
108,Lebu,99,ET,1567366893,87,8.96,38.73,56.96,1.68
109,Krivosheino,84,RU,1567366894,96,57.34,83.93,45.26,6.46
110,Georgetown,20,GY,1567366755,62,6.8,-58.16,89.6,11.41
111,Lata,100,IN,1567366896,97,30.78,78.62,45.08,1.41
112,Leiva,40,CO,1567366897,31,1.94,-77.3,78.8,19.46
113,Whitianga,100,NZ,1567366899,96,-36.83,175.7,46.99,0.81
114,Iqaluit,90,CA,1567366900,87,63.75,-68.52,46.4,6.93
115,Milledgeville,1,US,1567366816,62,33.08,-83.23,90.0,6.93
116,Port Lincoln,0,AU,1567366902,62,-34.72,135.86,57.32,21.16
117,Saint-Philippe,1,CA,1567366904,46,45.36,-73.48,75.99,12.75
118,Pevek,100,RU,1567366905,89,69.7,170.27,37.7,7.07
119,Dogondoutchi,19,NE,1567366906,51,13.64,4.03,88.82,6.67
120,Luderitz,0,NA,1567366678,62,-26.65,15.16,59.0,6.93
121,Hithadhoo,100,MV,1567366909,76,-0.6,73.08,83.24,11.25
122,Cidreira,65,BR,1567366910,59,-30.17,-50.22,56.96,4.43
123,Benguela,100,AO,1567366911,84,-12.58,13.4,69.56,5.66
124,Tsiroanomandidy,53,MG,1567366912,49,-18.77,46.05,69.2,2.08
125,Pisco,0,PE,1567366913,30,-13.71,-76.2,71.6,11.41
126,Mahebourg,20,MU,1567366915,77,-20.41,57.7,69.01,5.82
127,Wanning,75,AT,1567366916,73,48.64,13.53,72.0,8.05
128,Norfolk,40,US,1567366849,65,36.85,-76.29,87.01,12.75
129,Bandarbeyla,88,SO,1567366919,78,9.49,50.81,74.96,21.83
130,Akdepe,0,TM,1567366920,59,42.05,59.39,60.8,4.7
131,Bluff,0,AU,1567366921,40,-23.58,149.07,58.4,5.44
132,Tasiilaq,1,GL,1567366923,55,65.61,-37.64,46.4,9.17
133,Zhumadian,80,CN,1567366924,92,33.01,114.02,67.22,4.59
134,Nikolskoye,0,RU,1567366925,63,59.7,30.79,66.2,6.71
135,Atuona,27,PF,1567366926,74,-9.8,-139.03,79.28,16.42
136,Bloemfontein,0,ZA,1567366928,39,-29.12,26.22,46.4,4.7
137,Bela,10,PK,1567366929,72,26.23,66.31,82.34,2.51
138,Yurty,65,RU,1567366930,94,56.05,97.64,48.86,0.81
139,Aksay,37,KZ,1567366932,76,51.17,53.01,48.68,2.98
140,Alta Floresta,20,BR,1567366933,30,-9.87,-56.08,98.6,3.36
141,Beihai,0,CN,1567366934,73,38.95,121.19,69.8,4.47
142,Leningradskiy,100,RU,1567366935,94,69.38,178.42,37.34,22.95
143,Kazerun,0,IR,1567366937,40,29.62,51.65,78.02,0.78
144,Makakilo City,20,US,1567366938,62,21.35,-158.09,87.8,9.17
145,Dunedin,69,NZ,1567366939,63,-45.87,170.5,48.99,1.99
146,Narsaq,100,GL,1567366652,66,60.91,-46.05,50.0,5.82
147,Kjollefjord,40,NO,1567366941,72,70.95,27.35,62.6,21.92
148,Ouesso,96,CG,1567366943,97,1.61,16.05,71.18,1.9
149,Vao,3,EE,1567366944,81,59.1,26.19,60.38,7.49
150,Llanes,100,ES,1567366945,10,43.42,-4.75,71.01,12.53
151,Dikson,95,RU,1567366947,93,73.51,80.55,42.02,3.42
152,Kushima,69,JP,1567366948,94,31.5,131.29,75.0,4.0
153,Skibbereen,75,IE,1567366949,82,51.55,-9.27,57.2,8.05
154,Albany,75,US,1567366950,49,42.65,-73.75,75.0,8.05
155,Longyearbyen,75,NO,1567366951,93,78.22,15.63,42.8,2.24
156,Airai,88,TL,1567366953,55,-8.93,125.41,64.52,3.89
157,Zharkent,96,KZ,1567366954,68,44.17,80.0,51.92,1.5
158,Garowe,91,SO,1567366955,59,8.41,48.48,78.56,25.64
159,Arman,78,RU,1567366956,77,59.7,150.17,48.32,1.83
160,Wanaka,42,NZ,1567366958,74,-44.7,169.14,37.99,1.99
161,Acapulco,20,MX,1567366959,74,16.86,-99.88,87.8,8.05
162,Axim,100,GH,1567366960,90,4.87,-2.24,75.5,12.53
163,Surab,0,PK,1567366961,36,28.49,66.26,74.06,2.53
164,Jawhar,100,IN,1567366963,94,19.91,73.23,76.04,4.38
165,Bida,100,NG,1567366964,93,9.08,6.02,74.78,4.92
166,Tuatapere,85,NZ,1567366965,83,-46.13,167.69,44.01,4.0
167,Bathurst,0,AU,1567366892,72,-33.42,149.58,42.01,7.0
168,Takoradi,98,GH,1567366968,93,4.89,-1.75,73.52,5.5
169,Lere,81,TD,1567366969,94,9.66,14.23,71.9,0.72
170,Malyye Derbety,0,RU,1567366970,47,47.95,44.68,62.18,6.69
171,Izumo,75,JP,1567366971,100,35.37,132.75,71.6,2.24
172,Dingle,100,PH,1567366972,88,11.0,122.67,72.98,2.8
173,Sanmenxia,1,CN,1567366974,74,34.77,111.19,65.06,3.15
174,Pathalgaon,49,IN,1567366975,93,22.56,83.46,75.68,1.23
175,San Patricio,0,PY,1567366976,62,-26.98,-56.83,61.28,6.58
176,Saldus,0,LV,1567366977,87,56.67,22.49,65.78,8.7
177,Cherskiy,15,RU,1567366904,67,68.75,161.3,37.34,4.47
178,Henties Bay,0,NA,1567366980,95,-22.12,14.28,52.0,5.99
179,Isangel,84,VU,1567366981,86,-19.55,169.27,75.14,21.65
180,Jega,22,NG,1567366982,67,12.22,4.38,82.88,8.32
181,Tsabong,0,BW,1567366983,17,-26.02,22.4,54.62,7.96
182,Kaitangata,93,NZ,1567366874,63,-46.28,169.85,45.0,8.01
183,Salalah,75,OM,1567366986,88,17.01,54.1,80.6,5.82
184,Goderich,62,CA,1567366987,77,43.74,-81.71,71.01,4.0
185,Torbat-e Jam,0,IR,1567366988,35,35.24,60.63,57.86,6.8
186,Vestmanna,57,FO,1567366989,87,62.16,-7.17,48.2,13.87
187,Mach,0,PK,1567366991,62,29.87,67.33,72.62,2.53
188,Gawler,0,AU,1567366809,86,-34.6,138.75,53.01,16.11
189,Chapais,90,CA,1567366993,48,49.78,-74.86,66.2,18.34
190,Mareeba,24,AU,1567366995,77,-16.99,145.42,66.2,11.41
191,Nchelenge,0,ZM,1567366996,46,-9.35,28.74,73.16,7.67
192,Rabo de Peixe,20,PT,1567366997,64,37.8,-25.58,71.01,14.99
193,Kaseda,100,JP,1567366998,94,31.42,130.32,75.0,4.0
194,Coihaique,40,CL,1567366999,39,-45.58,-72.07,48.2,9.17
195,Novoagansk,65,RU,1567367001,97,61.94,76.66,45.44,8.32
196,San Cristobal,49,HN,1567367002,40,14.68,-86.92,87.2,5.53
197,Angoram,97,PG,1567367003,98,-4.06,144.07,72.62,2.04
198,Fort Nelson,90,CA,1567367004,100,58.81,-122.69,48.2,2.77
199,Vardo,90,US,1567367006,64,39.62,-77.74,80.01,4.7
200,Necochea,2,AR,1567367007,64,-38.55,-58.74,45.26,9.13
201,Guerrero Negro,6,MX,1567367008,75,27.97,-114.04,72.98,10.65
202,San Javier,0,BR,1567367009,53,-27.87,-55.13,66.0,1.99
203,Norman Wells,90,CA,1567367011,81,65.28,-126.83,46.4,6.93
204,Ternate,40,PH,1567367012,88,14.29,120.72,79.0,2.24
205,Dosso,23,NE,1567367013,64,13.05,3.19,85.22,8.46
206,Mandaon,100,PH,1567367015,78,12.23,123.28,81.62,11.97
207,Saint George,20,GR,1567366946,53,39.45,22.34,73.4,6.93
208,Urusha,74,RU,1567367017,91,54.05,122.9,43.46,1.77
209,Khajuraho,100,IN,1567367018,84,24.85,79.93,81.08,4.23
210,Nieuw Amsterdam,20,SR,1567367019,44,5.88,-55.08,93.2,6.93
211,Rocha,4,UY,1567366827,72,-34.48,-54.34,45.62,8.99
212,Kangalassy,0,RU,1567367022,93,62.35,129.97,42.8,5.59
213,Coquimbo,0,CL,1567367023,71,-29.95,-71.34,57.2,11.41
214,Srednekolymsk,48,RU,1567367018,51,67.46,153.71,43.28,5.55
215,Canmore,90,CA,1567366726,100,51.09,-115.35,54.0,8.05
216,Belaya Kholunitsa,86,RU,1567367026,78,58.84,50.85,46.88,3.67
217,Jacareacanga,75,BR,1567367028,35,-6.22,-57.76,92.6,4.72
218,Itarema,72,BR,1567367029,77,-2.92,-39.92,78.02,13.62
219,Batken,95,KG,1567367030,29,40.06,70.82,59.84,7.74
220,Boulder City,1,US,1567367031,12,35.98,-114.83,104.0,6.93
221,Chokurdakh,99,RU,1567367033,60,70.62,147.9,45.26,9.1
222,Comodoro Rivadavia,75,AR,1567367034,45,-45.87,-67.48,46.4,14.99
223,Noumea,99,NC,1567367035,94,-22.28,166.46,75.0,1.12
224,Geraldton,90,CA,1567367036,100,49.72,-86.95,57.2,4.7
225,Douglas,20,US,1567367037,51,58.28,-134.39,62.6,4.7
226,Luganville,75,VU,1567367039,94,-15.51,167.18,75.2,3.36
227,Aswan,41,EG,1567367040,15,24.09,32.9,87.2,12.03
228,Khatanga,8,RU,1567367041,95,71.98,102.47,35.18,8.21
229,Kloulklubed,75,PW,1567367042,88,7.04,134.26,78.8,8.05
230,Elk,0,PL,1567367043,76,53.83,22.36,65.42,10.07
231,Moba,0,CD,1567367045,37,-7.04,29.77,67.4,2.57
232,Adrar,50,DZ,1567367046,20,27.87,-0.29,96.8,6.93
233,Fairbanks,1,US,1567366902,66,64.84,-147.72,57.0,9.17
234,Sibu,75,MY,1567367048,94,2.29,111.83,75.2,2.26
235,Havelock,90,US,1567367027,83,34.88,-76.9,84.2,6.93
236,Warwick,40,US,1567367051,53,41.7,-71.42,75.99,9.17
237,Mogadishu,20,SO,1567367052,74,2.04,45.34,78.8,17.22
238,Victoria,75,BN,1567366985,83,5.28,115.24,82.4,2.24
239,Moose Factory,90,CA,1567366825,93,51.26,-80.61,57.2,11.41
240,Emerald,0,AU,1567367056,50,-23.53,148.16,51.8,5.82
241,Healdsburg,1,US,1567366838,45,38.61,-122.87,96.01,5.82
242,Kavaratti,100,IN,1567367058,77,10.57,72.64,82.16,17.76
243,Sakaiminato,75,JP,1567367060,100,35.55,133.23,71.6,2.24
244,Yulara,0,AU,1567366874,23,-25.24,130.99,48.2,5.82
245,Homer,75,US,1567366868,67,59.64,-151.54,62.6,4.7
246,Grand Gaube,20,MU,1567367063,77,-20.01,57.66,69.01,5.82
247,Mehamn,20,NO,1567366895,72,71.03,27.85,62.6,8.05
248,Sibolga,71,ID,1567367066,82,1.74,98.78,81.08,12.3
249,Ayan,72,IR,1567367067,65,38.23,44.7,56.6,3.65
250,Udachnyy,75,RU,1567366958,70,66.42,112.4,48.2,4.47
251,Birin,99,NP,1567367069,92,26.89,88.07,62.9,2.93
252,Katherine,0,AU,1567367070,54,-14.47,132.26,57.2,5.82
253,Juneau,20,US,1567367072,51,58.3,-134.42,62.6,4.7
254,Kalmunai,100,LK,1567367073,70,7.42,81.82,77.3,2.8
255,Umm Kaddadah,0,SD,1567367074,42,13.6,26.69,88.64,10.74
256,Caravelas,12,BR,1567367075,80,-17.73,-39.27,74.24,10.49
257,Jining,100,CN,1567367077,86,35.41,116.58,67.58,1.54
258,Sinnamary,31,GF,1567367078,79,5.38,-52.96,81.44,16.84
259,Doha,0,QA,1567367079,59,25.29,51.53,95.0,4.7
260,Gryazovets,95,RU,1567367080,97,58.88,40.25,56.6,4.43
261,Grindavik,20,IS,1567367082,76,63.84,-22.43,48.2,11.41
262,Biggar,3,CA,1567367083,43,52.06,-107.98,66.5,6.33
263,Rawson,56,AR,1567366959,60,-43.3,-65.11,43.28,26.33
264,Eyl,100,SO,1567367085,77,7.98,49.82,74.24,22.77
265,Anito,100,PH,1567367086,96,12.45,125.29,73.52,3.78
266,Kaoma,40,ZM,1567367088,25,-14.8,24.8,69.02,6.62
267,Bereda,75,ES,1567367089,72,43.27,-7.54,64.99,13.87
268,Los Llanos de Aridane,75,ES,1567367090,69,28.66,-17.92,75.2,12.75
269,Port-Gentil,75,GA,1567367091,88,-0.72,8.78,77.0,13.87
270,Shimoda,54,JP,1567366999,77,34.7,138.93,73.99,1.01
271,Parasia,100,IN,1567367093,97,22.19,78.76,73.16,4.61
272,Atar,39,MR,1567367095,50,20.52,-13.05,89.72,15.03
273,Ribeira Grande,75,PT,1567367096,83,38.52,-28.7,75.2,3.36
274,Niamey,20,NE,1567367097,46,13.52,2.11,93.2,6.93
275,Pontes e Lacerda,12,BR,1567367098,32,-15.23,-59.33,91.88,5.21
276,Kiboga,1,UG,1567367100,90,0.92,31.77,62.36,1.43
277,Oktyabrskiy,71,RU,1567367101,82,55.61,37.97,69.01,2.24
278,Lethem,86,GY,1567367102,53,3.38,-59.8,89.9,4.47
279,La Cruz,35,MX,1567367103,73,23.92,-106.89,88.0,1.99
280,San Roque,20,CO,1567367105,44,6.49,-75.02,87.8,18.34
281,Pangnirtung,75,CA,1567367106,81,66.15,-65.72,48.2,14.99
282,Darhan,93,MN,1567367107,76,49.49,105.92,61.1,3.38
283,Lavrentiya,100,RU,1567367108,96,65.58,-170.99,45.98,11.54
284,Ixtapa,90,MX,1567367110,66,20.71,-105.21,90.0,9.17
285,Clyde River,5,CA,1567367111,70,70.47,-68.59,46.4,14.99
286,Erdaojiang,0,CN,1567367112,97,41.78,126.03,53.36,4.18
287,Saldanha,0,PT,1567366914,48,41.42,-6.55,71.72,11.34
288,Kidal,9,ML,1567367114,21,18.44,1.41,95.48,4.68
289,Severo-Kurilsk,92,RU,1567367116,95,50.68,156.12,49.94,9.08
