,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
290,Alofi,96,NU,1567367117,73,-19.06,-169.92,71.6,17.22
291,Misratah,100,LY,1567367118,73,32.38,15.09,81.8,9.08
292,Cabedelo,40,BR,1567367120,78,-6.97,-34.84,80.6,13.87
293,Pereslavl-Zalesskiy,90,RU,1567367121,83,56.74,38.86,58.22,2.57
294,Mitu,0,IR,1567367122,72,36.2,46.09,57.5,0.36
295,Bahir Dar,100,ET,1567367123,96,11.59,37.39,58.04,2.73
296,Souillac,0,FR,1567367125,59,45.6,-0.6,66.2,8.05
297,Hvide Sande,0,DK,1567367126,87,56.01,8.13,55.99,4.7
298,Taoudenni,100,ML,1567367127,25,22.68,-3.98,99.26,17.0
299,Kenora,75,CA,1567367128,72,49.76,-94.48,64.4,8.05
300,Gambela,100,ET,1567367130,75,8.25,34.59,69.92,4.38
301,Zhigansk,99,RU,1567367131,83,66.77,123.37,50.12,7.38
302,Maningrida,100,AU,1567367132,88,-12.05,134.23,57.5,5.64
303,Roald,75,NO,1567367133,87,62.58,6.12,51.8,10.29
304,Carballo,75,ES,1567367135,72,43.21,-8.69,66.99,13.87
305,Sambava,83,MG,1567367136,97,-14.27,50.17,65.06,3.02
306,Batagay-Alyta,100,RU,1567367137,87,67.8,130.41,37.52,2.39
307,Thinadhoo,100,MV,1567367138,77,0.53,72.93,82.88,8.79
308,Faya,0,SA,1567367140,73,18.39,42.45,75.2,3.36
309,Chunskiy,76,RU,1567367141,97,56.08,99.63,50.66,1.97
310,Hoopstad,0,ZA,1567367142,28,-27.83,25.91,48.5,6.24
311,Lompoc,1,US,1567367143,54,34.64,-120.46,100.0,11.41
312,Aland,100,IN,1567367145,90,17.57,76.57,72.62,14.14
313,Dolores,0,UY,1567367146,38,-33.53,-58.22,59.0,11.01
314,Carutapera,65,BR,1567367147,78,-1.2,-46.02,79.64,7.94
315,Kununurra,100,AU,1567367148,81,-15.77,128.74,53.6,1.12
316,San Quintin,100,PH,1567367150,92,17.54,120.52,73.7,4.36
317,Yar-Sale,45,RU,1567367151,86,66.83,70.83,47.6,15.35
318,Corrales,86,CO,1567367152,82,5.83,-72.84,56.6,1.63
319,Ialibu,99,PG,1567367153,99,-6.28,143.99,61.28,0.81
320,Qaqortoq,100,GL,1567367155,66,60.72,-46.03,50.0,5.82
321,Mayo,75,CA,1567367156,47,63.59,-135.9,59.0,2.77
322,Bushehr,0,IR,1567367157,39,28.97,50.84,100.4,11.41
323,Staryy Nadym,100,RU,1567367158,88,65.61,72.68,53.9,12.75
324,Tiksi,100,RU,1567366931,93,71.64,128.87,39.32,7.07
325,Cervo,40,BR,1567367161,44,-22.19,-46.24,78.8,6.33
326,Padang,7,ID,1567367162,84,-0.92,100.36,80.9,17.4
327,Cabo San Lucas,75,MX,1567366971,70,22.89,-109.91,93.0,4.7
328,Lincoln,20,GB,1567367164,66,53.23,-0.54,59.0,9.17
329,Freeport,100,BS,1567367166,74,26.54,-78.7,85.04,32.5
330,Recke,0,DE,1567367167,76,52.37,7.72,62.01,2.24
331,Sjovegan,75,NO,1567367168,60,68.87,17.85,69.8,25.28
332,Sao Miguel do Araguaia,99,BR,1567367169,18,-13.28,-50.16,95.3,5.53
333,Garden City,1,US,1567367171,18,43.62,-116.24,91.0,4.7
334,Ust-Kuyga,100,RU,1567367172,91,70.0,135.55,42.56,2.77
335,Sorong,57,ID,1567367173,89,-0.86,131.25,73.16,7.87
336,Harper,75,US,1567367174,36,30.3,-99.24,93.2,6.93
337,Kattivakkam,40,IN,1567367176,84,13.22,80.32,86.0,4.7
338,Banda Aceh,67,ID,1567367177,81,5.56,95.32,81.62,12.08
339,Olinda,90,AU,1567367178,93,-37.84,145.39,52.0,6.93
340,Acari,90,BR,1567367180,47,-6.44,-36.64,85.58,21.94
341,Patan,20,NP,1567367181,88,27.67,85.33,71.6,3.49
342,Pangody,100,RU,1567367182,89,65.85,74.49,53.9,14.25
343,Muros,75,ES,1567367183,77,42.77,-9.06,68.0,11.41
344,Genhe,52,CN,1567367185,91,50.78,121.52,42.38,1.16
345,Kavieng,100,PG,1567367186,75,-2.57,150.8,83.06,8.61
346,Hay River,75,CA,1567367187,54,60.82,-115.79,57.2,12.75
347,Porto Murtinho,99,BR,1567367189,70,-21.7,-57.88,64.16,3.0
348,Astoria,90,US,1567367190,82,46.19,-123.83,77.0,5.82
349,Ponta do Sol,64,BR,1567367192,35,-20.63,-46.0,77.12,1.81
350,Alexandria,0,RO,1567367195,55,43.97,25.33,63.0,5.93
351,Oranjemund,0,ZA,1567367196,80,-28.55,16.43,57.5,29.12
352,Palatka,5,RU,1567367197,72,60.1,150.94,44.54,3.09
353,Mogzon,67,RU,1567367198,74,51.74,111.97,52.82,3.83
354,Springdale,20,US,1567367035,74,36.19,-94.13,88.0,3.36
355,Santa Lucia,0,IT,1567367201,78,41.98,12.66,79.0,6.93
356,Ikom,100,NG,1567367202,97,5.96,8.72,72.8,3.24
357,Baruun-Urt,43,MN,1567367203,77,46.68,113.28,54.08,2.93
358,Awbari,14,LY,1567367204,24,26.59,12.77,86.66,9.84
359,Avera,40,US,1567367001,66,33.19,-82.53,89.6,9.17
360,Bethel,90,US,1567367207,87,60.79,-161.76,55.4,8.05
361,Zhaotong,100,CN,1567367208,96,27.34,103.71,54.44,3.15
362,Rio Cuarto,0,AR,1567367209,25,-33.13,-64.35,60.8,9.17
363,Sumenep,92,ID,1567367210,92,-7.02,113.87,71.54,6.15
364,Gobabis,0,NA,1567367212,9,-22.45,18.97,59.0,3.36
365,Swan River,94,CA,1567367213,57,52.11,-101.27,56.6,5.73
366,Shawville,38,CA,1567367214,42,45.61,-76.49,77.0,1.01
367,Khandbari,99,NP,1567367216,89,27.38,87.21,59.12,1.19
368,San Carlos de Bariloche,0,AR,1567367217,34,-41.13,-71.31,48.2,21.92
369,Buala,84,SB,1567367218,79,-8.15,159.59,81.62,7.9
370,Nevelsk,75,RU,1567367219,100,46.67,141.86,46.4,16.24
371,Falavarjan,0,IR,1567367221,19,32.56,51.51,78.8,4.7
372,Lazaro Cardenas,40,MX,1567367222,32,28.39,-105.62,87.01,6.93
373,Caohai,100,CN,1567367223,97,26.87,104.28,56.96,3.18
374,Leh,0,IN,1567367224,49,34.16,77.58,46.7,3.74
375,Sjenica,5,RS,1567367226,58,43.27,20.0,57.86,2.57
376,Kyren,100,RU,1567367227,93,51.68,102.13,47.96,0.89
377,Malanje,73,AO,1567367228,54,-9.54,16.35,72.62,1.54
378,Merced,1,US,1567367229,27,37.3,-120.48,97.0,6.93
379,Agirish,100,RU,1567367230,93,61.92,63.02,48.14,11.79
380,General Cepeda,40,MX,1567367232,47,25.38,-101.48,78.8,6.93
381,Neiafu,75,TO,1567367233,64,-18.65,-173.98,73.4,9.17
382,Seminole,1,US,1567367234,29,32.72,-102.64,100.0,6.93
383,Garissa,0,KE,1567367235,68,-0.46,39.64,74.96,17.13
384,Batemans Bay,0,AU,1567367237,84,-35.71,150.18,50.0,1.99
385,Atasu,100,KZ,1567367238,38,48.68,71.64,53.18,9.33
386,Tutoia,20,BR,1567367242,66,-2.76,-42.27,86.0,12.75
387,Angoche,0,MZ,1567367243,89,-16.23,39.91,71.54,3.47
388,Celestun,0,MX,1567367245,79,20.87,-90.4,82.52,12.59
389,Broken Hill,0,AU,1567367246,57,-31.97,141.45,50.0,10.29
390,Zonguldak,0,TR,1567367247,77,41.25,31.83,74.06,12.55
391,Namibe,97,AO,1567367248,86,-15.19,12.15,65.24,9.01
392,Miri,57,NG,1567367250,80,10.31,9.75,72.08,4.38
393,Akmene,5,LV,1567367251,68,56.71,21.38,66.2,4.7
394,Abu Samrah,0,SY,1567367252,80,35.3,37.18,72.08,10.31
395,Kahului,40,US,1567367253,66,20.89,-156.47,84.99,23.04
396,Sayyan,22,YE,1567367255,64,15.17,44.32,74.96,2.89
397,Nishihara,75,JP,1567367256,94,35.74,139.53,79.0,2.24
398,Kuopio,0,FI,1567367257,77,62.89,27.68,60.8,5.82
399,Sur,7,OM,1567367258,59,22.57,59.53,80.72,10.54
400,Eidfjord,97,NO,1567367260,74,60.47,7.07,44.01,4.05
401,Vila,0,IT,1567367261,54,45.18,8.4,82.99,6.93
402,Vetlanda,20,SE,1567367262,93,57.43,15.09,59.0,6.93
403,Bitkine,100,TD,1567367263,74,11.98,18.21,74.78,8.7
404,Puerto Colombia,40,CO,1567367265,53,10.99,-74.96,95.0,4.7
405,Asosa,100,ET,1567367266,91,10.07,34.53,65.24,3.69
406,Les Cayes,26,HT,1567367267,77,18.19,-73.75,83.96,13.13
407,Manado,40,ID,1567367268,61,1.49,124.85,78.8,8.05
408,Merrill,1,US,1567367270,33,42.03,-121.6,81.0,4.7
409,La Ronge,75,CA,1567367271,58,55.1,-105.3,57.2,6.93
410,Boadilla del Monte,40,ES,1567367272,39,40.41,-3.88,86.0,2.24
411,Wageningen,0,NL,1567367274,67,51.98,5.66,61.0,4.7
412,Delijan,0,IR,1567367275,26,33.99,50.69,70.1,5.75
413,Port Augusta,0,AU,1567367276,93,-32.49,137.76,46.99,5.82
414,Palestine,1,US,1567367167,62,31.76,-95.63,95.0,3.36
415,Bridlington,0,GB,1567367278,76,54.08,-0.19,57.2,9.17
416,Mtambile,0,TZ,1567367280,80,-5.38,39.7,77.3,11.74
417,Mbaiki,95,CF,1567367281,97,3.87,17.99,69.74,0.83
418,Kapit,100,MY,1567367282,99,2.02,112.94,72.26,0.45
419,Podolsk,0,RU,1567367283,87,55.43,37.55,69.01,3.4
420,Bonavista,22,CA,1567367285,71,48.65,-53.11,63.0,3.0
421,Tabou,100,CI,1567367286,91,4.42,-7.36,74.6,6.04
422,Sitka,2,US,1567367287,66,37.17,-99.65,86.0,5.99
423,Lazurne,7,UA,1567367289,41,46.77,34.99,70.28,4.92
424,Marzuq,78,YE,1567367290,38,14.4,46.47,79.46,2.62
425,Matara,18,BI,1567367291,62,-3.48,29.48,55.88,2.08
426,Valdivia,20,CL,1567367292,43,-39.81,-73.25,55.4,11.41
427,Rundu,0,NA,1567367293,8,-17.91,19.77,68.0,2.24
428,Wegorzewo,0,PL,1567367295,64,54.22,21.74,69.56,11.36
429,Bangkalan,93,ID,1567367296,88,-7.05,112.74,69.74,6.89
430,Rondonopolis,0,BR,1567367297,23,-16.46,-54.64,94.94,7.09
431,Kinshasa,40,CD,1567367004,51,-4.32,15.31,87.8,6.93
432,Kristiansund,90,NO,1567367300,81,63.12,7.73,51.8,10.29
433,Aklavik,75,CA,1567367301,65,68.22,-135.01,46.4,3.36
434,Briceno,93,CO,1567367302,94,7.11,-75.55,65.06,1.63
435,Varkkallai,75,IN,1567367304,88,8.73,76.71,78.8,4.7
436,Guanare,97,VE,1567367305,70,9.04,-69.74,81.8,1.7
437,Senador Jose Porfirio,39,BR,1567367306,60,-2.59,-51.95,88.46,1.57
438,Riorges,0,FR,1567367307,72,46.04,4.03,68.0,8.05
439,Murray,1,US,1567367309,20,40.67,-111.89,96.01,12.75
440,Santa Rosa,0,AR,1567367310,19,-36.62,-64.29,55.7,1.99
441,Egvekinot,100,RU,1567367311,84,66.32,-179.17,40.76,18.01
442,Vila Franca do Campo,20,PT,1567367075,64,37.72,-25.43,71.01,14.99
443,Nizhniy Odes,33,RU,1567367314,97,63.64,54.86,40.76,5.53
444,Lenoir,40,US,1567367315,45,35.91,-81.54,88.0,5.82
445,Khudaganj,69,IN,1567367316,86,28.19,79.75,80.54,5.12
446,Papar,75,MY,1567367317,88,5.73,115.93,80.6,4.7
447,Hurricane,1,US,1567367319,10,37.18,-113.29,100.99,14.94
448,Kargasok,99,RU,1567367320,93,59.06,80.87,45.08,6.62
449,Viedma,19,AR,1567367321,34,-40.81,-62.99,49.94,6.13
450,Ljubljana,0,SI,1567367322,77,46.05,14.51,75.99,10.29
451,Klaksvik,31,FO,1567367324,87,62.23,-6.59,48.2,13.87
452,Polunochnoye,100,RU,1567367325,98,60.87,60.43,45.08,5.44
453,Kikwit,100,CD,1567367326,53,-5.04,18.82,81.62,2.06
454,Qasigiannguit,20,GL,1567367327,27,68.82,-51.19,51.8,11.41
455,Harrisonburg,90,US,1567367031,73,38.45,-78.87,82.99,4.18
456,Turukhansk,65,RU,1567367330,89,65.8,87.96,51.2,5.86
457,Lensk,0,RU,1567367331,94,60.71,114.91,47.6,3.69
458,Visby,40,SE,1567367332,88,57.64,18.3,70.0,12.75
459,Mangrol,100,IN,1567367333,83,25.33,76.51,81.26,4.18
460,Ingleside,75,CA,1567367335,46,45.0,-74.99,75.99,8.05
461,Ancud,40,CL,1567367336,61,-41.87,-73.83,50.0,21.92
462,Booue,100,GA,1567367337,79,-0.09,11.94,75.68,3.56
463,Vadso,40,NO,1567367338,77,70.07,29.75,60.8,3.36
464,Rome,0,IT,1567367227,78,41.89,12.48,79.0,6.93
465,Skjervoy,75,NO,1567367341,60,70.03,20.97,69.8,16.11
466,Oistins,40,BB,1567367342,66,13.07,-59.53,87.8,11.41
467,Esperance,0,AU,1567367343,93,-33.86,121.89,48.2,11.41
468,Waingapu,100,ID,1567367345,91,-9.65,120.26,65.06,7.96
469,Ketchikan,1,US,1567367110,72,55.34,-131.65,64.4,5.82
470,Manono,0,CD,1567367347,43,-7.3,27.4,79.28,2.04
471,Hasaki,20,JP,1567367348,100,35.73,140.83,73.4,2.24
472,Ambilobe,0,MG,1567367350,77,-13.19,49.05,71.0,8.68
473,Sioux Lookout,90,CA,1567367340,82,50.1,-91.92,60.8,8.5
474,Tazovskiy,100,RU,1567367352,91,67.47,78.7,46.52,11.95
475,Beitbridge,0,ZA,1567367353,80,-22.21,29.99,56.42,12.97
476,San Lorenzo,0,HN,1567367354,53,13.43,-87.45,95.0,6.93
477,Pampa,1,US,1567367356,31,35.54,-100.96,93.2,5.82
478,Alpinopolis,99,BR,1567367357,35,-20.86,-46.39,76.94,2.35
479,Mozarlandia,96,BR,1567367358,16,-14.74,-50.57,94.76,3.91
480,Chiavari,0,IT,1567367359,65,44.32,9.32,80.6,4.7
481,Gizo,40,IL,1567367361,74,31.8,34.94,84.2,4.7
482,Amapa,40,HN,1567367362,41,15.09,-87.97,95.0,6.93
483,Santa Teresa,0,BR,1567367363,69,-19.94,-40.6,80.6,17.22
484,Otane,4,NZ,1567367365,80,-39.89,176.62,48.0,7.0
485,Le Vauclin,20,MQ,1567367366,66,14.55,-60.84,89.6,13.87
486,Harstad,90,NO,1567367367,87,68.8,16.53,57.99,25.28
487,Iralaya,40,HN,1567367368,59,15.0,-83.23,93.2,9.17
488,Saint-Pierre,0,FR,1567367370,55,48.95,4.24,62.6,5.82
489,Auki,86,NG,1567367371,82,12.18,6.51,76.22,7.16
490,Beya,100,RU,1567367372,76,53.05,90.92,54.62,2.33
491,Verkhoyansk,80,RU,1567367373,78,67.55,133.39,44.36,1.81
492,Hovd,75,NO,1567367375,82,63.83,10.7,57.0,17.22
493,Dafeng,100,CN,1567367376,90,33.2,120.46,66.32,6.04
494,Ostrovnoy,90,RU,1567367377,90,68.05,39.51,55.88,8.9
495,Goundi,100,TD,1567367378,96,9.36,17.37,73.7,4.65
496,Neryungri,67,RU,1567367379,85,56.66,124.71,41.48,3.42
497,Honningsvag,40,NO,1567367381,72,70.98,25.97,60.8,21.92
498,Victor Harbor,0,AU,1567367382,86,-35.55,138.62,52.0,16.11
499,Ponta Delgada,20,PT,1567367366,64,37.73,-25.67,71.01,14.99
500,Grand Island,75,US,1567367278,78,40.92,-98.34,82.0,6.93
501,Najran,0,SA,1567367385,14,17.54,44.22,87.8,4.7
502,Deputatskiy,97,RU,1567367387,77,69.3,139.9,42.92,3.38
503,Along,100,IN,1567367388,86,28.17,94.8,62.18,4.68
504,Moree,0,AU,1567367389,56,-29.46,149.84,44.6,1.99
505,Simplicio Mendes,24,BR,1567367391,26,-7.85,-41.91,85.04,3.18
506,Zyryanka,0,RU,1567367392,52,65.73,150.89,45.98,6.22
507,Wilmington,90,US,1567367393,44,39.75,-75.55,84.99,3.36
508,Ardahan,58,TR,1567367394,91,41.11,42.7,48.32,2.3
509,Agadez,0,NE,1567367396,21,16.97,7.99,98.36,13.78
510,Kaeo,100,NZ,1567367397,100,-35.1,173.78,50.0,6.69
511,Hirara,0,JP,1567367398,80,24.8,125.28,83.6,16.13
512,Santa Ana,0,MX,1567367399,50,30.54,-111.12,93.0,1.01
513,Lakselv,40,NO,1567367400,77,70.05,24.96,66.2,35.57
514,Morehead,20,US,1567367402,45,38.18,-83.43,89.01,9.17
515,Belmonte,26,PT,1567367404,63,40.36,-7.35,89.01,2.77
516,Colima,75,MX,1567367405,74,19.25,-103.72,82.4,6.93
517,Marsh Harbour,88,BS,1567367406,89,26.54,-77.06,81.08,76.57
518,Biryusinsk,65,RU,1567367408,94,55.96,97.82,48.86,0.81
519,Sao Joao da Barra,0,BR,1567367409,58,-21.64,-41.05,82.4,13.87
520,Urukh,75,RU,1567367410,59,43.3,44.03,64.4,2.24
521,Marawi,99,PH,1567367412,95,8.0,124.29,73.99,7.0
522,Inongo,98,CD,1567367413,80,-1.93,18.29,75.68,2.39
523,Mikulov,0,CZ,1567367414,57,48.81,16.64,75.2,4.7
524,Lawrenceburg,75,US,1567367415,52,35.24,-87.33,91.99,3.36
525,Prince Albert,75,CA,1567367178,67,53.2,-105.75,59.0,2.24
526,Sabang,100,PH,1567367418,96,13.8,121.11,75.0,1.7
527,Datong,0,CN,1567367419,47,40.09,113.3,63.26,4.07
528,Shotts,20,GB,1567367420,76,55.82,-3.79,55.0,8.05
529,Belaya Gora,75,RU,1567367422,58,68.54,146.19,43.82,9.28
530,Saint-Nazaire,0,FR,1567367423,52,47.27,-2.21,66.2,6.93
531,Port Blair,100,IN,1567367424,82,11.67,92.75,81.8,22.95
532,Blagoyevo,0,RU,1567367425,75,63.37,47.92,41.66,1.21
533,South Sioux City,90,US,1567367427,78,42.47,-96.41,80.6,10.29
534,Zhenjiang,100,CN,1567367428,93,32.21,119.46,73.0,7.85
535,Hohhot,0,CN,1567367429,71,40.81,111.65,55.4,4.47
536,Korhogo,100,CI,1567367430,95,9.46,-5.63,71.36,0.65
537,Guarapuava,100,BR,1567367432,97,-25.4,-51.46,56.78,4.38
538,Santa Cruz,85,BR,1567367221,64,-6.22,-36.02,77.3,16.28
539,Anchorage,90,US,1567367185,82,61.22,-149.89,61.0,11.41
540,Khotyn,0,UA,1567367435,60,48.51,26.49,75.2,1.48
541,Springbok,0,ZA,1567367437,67,-29.67,17.88,53.18,4.56
542,Baykit,100,RU,1567367438,94,61.68,96.39,50.66,14.79
543,Richards Bay,0,ZA,1567367439,70,-28.77,32.06,65.96,11.14
544,West Wendover,1,US,1567367292,6,40.74,-114.07,86.0,6.93
545,Vanimo,100,PG,1567367441,78,-2.67,141.3,80.54,7.38
546,Maraa,66,BR,1567367443,63,-1.83,-65.37,88.28,1.57
547,Tromso,75,NO,1567367444,68,69.65,18.96,69.8,11.41
548,Beira,75,ES,1567367445,77,43.2,-8.36,66.99,9.17
549,Echirolles,90,FR,1567367446,64,45.14,5.73,69.8,4.7
550,Haimen,100,CN,1567367448,95,31.87,121.18,77.0,5.86
551,Kieta,29,PG,1567367449,75,-6.22,155.63,80.9,4.52
552,Mingguang,100,CN,1567367450,84,32.78,118.01,66.5,7.23
553,Mayumba,61,GA,1567367451,88,-3.44,10.65,71.9,8.19
554,Tessalit,43,ML,1567367453,18,20.2,1.01,98.72,10.47
555,Utiel,20,ES,1567367454,54,39.57,-1.21,84.2,12.75
556,Alice Springs,0,AU,1567367455,21,-23.7,133.88,48.2,6.04
557,General Pico,0,AR,1567367457,29,-35.66,-63.75,55.88,1.23
558,Port Hardy,75,CA,1567367458,100,50.7,-127.42,59.0,2.1
559,Santa Maria,0,BR,1567367460,22,-16.02,-48.01,89.6,5.82
560,Penha,75,BR,1567367467,82,-26.78,-48.65,63.0,6.93
561,Tandil,60,AR,1567367472,62,-37.33,-59.14,45.08,7.14
562,Fortuna,1,US,1567367473,77,40.6,-124.16,84.99,13.87
563,Port Hedland,0,AU,1567367474,93,-20.31,118.58,60.8,2.24
564,Huarmey,6,PE,1567367476,90,-10.07,-78.15,60.56,13.13
565,Lashio,83,MM,1567367180,97,22.93,97.75,69.74,0.96
566,Nalut,0,LY,1567367478,65,31.86,10.98,74.24,11.92
567,Cockburn Town,40,TC,1567367479,66,21.46,-71.14,91.4,11.41
568,Imeni Poliny Osipenko,100,RU,1567367480,96,52.42,136.49,50.84,2.55
569,Thunder Bay,75,CA,1567367482,64,48.41,-89.26,69.8,8.05
570,Mecca,19,SA,1567367358,55,21.43,39.83,85.04,6.42
571,Vestmannaeyjar,0,IS,1567367484,68,63.44,-20.27,50.3,15.37
572,Nome,40,US,1567367485,44,30.04,-94.42,96.01,8.05
573,Barcelos,87,BR,1567367420,54,-0.97,-62.93,89.72,3.2
574,Limbang,75,BN,1567367488,83,4.75,115.01,82.4,3.36
575,Ocala,40,US,1567367413,89,29.19,-82.14,89.01,11.41
576,Charters Towers,0,AU,1567367490,87,-20.07,146.27,58.58,3.4
577,Gabu,2,CN,1567367491,94,34.78,103.0,35.72,2.64
578,Bat Khela,0,PK,1567367493,72,34.62,71.97,75.5,7.63
579,Zhezkazgan,82,KZ,1567367494,66,47.8,67.71,52.46,6.6
580,El Congo,20,SV,1567367495,48,13.91,-89.5,87.8,8.05
